transaction_amount,transaction_velocity_1h,merchant_risk_score,customer_age_days,is_international,hour_of_day,device_risk_score,is_fraud,transaction_date,sender_id,receiver_id
11.964265024649258,2,0.2764185022071125,320.7239121575758,0,9,0.20544583309644987,0,2024-01-01 00:00:00,2217,1902
62.854478795276265,0,0.7226568237306653,559.9096106209515,0,9,0.035327044429083874,0,2024-01-01 00:02:00,1498,534
32.732751131284246,2,0.32583717927851175,242.38224222038897,0,14,0.16208142451474267,0,2024-01-01 00:04:00,4698,1820
8.49854673508932,4,0.35428968772173847,376.57700008149556,0,10,0.22512665356181605,0,2024-01-01 00:06:00,4061,473
12.167500244733388,2,0.08040469093443475,942.3395574208862,0,19,0.11778424611492558,0,2024-01-01 00:08:00,3558,2139
253.11644541914953,3,0.6349624686736365,255.64879976198333,0,19,0.039160345403944176,0,2024-01-01 00:10:00,4576,161
38.464688158168435,2,0.2629782145596303,301.5544102918899,0,13,0.3258921185002896,0,2024-01-01 00:12:00,3042,823
4.927536577414787,2,0.08499330608423616,574.2084843409457,0,10,0.4628835811629782,0,2024-01-01 00:14:00,2543,1534
223.24968152193526,3,0.19292188562202808,536.4173590364159,0,9,0.20195006101652666,1,2024-01-01 00:16:00,4176,2060
26.776924297701534,2,0.16829709030664775,890.727982201442,0,9,0.057394780747186146,0,2024-01-01 00:18:00,2058,1888
187.90708449654204,1,0.22609532612194655,188.41029762986344,0,8,0.05736418859001646,0,2024-01-01 00:20:00,1195,2961
30.813141339019325,1,0.24530252889963097,325.40284038552943,0,18,0.09917946594990155,0,2024-01-01 00:22:00,1159,391
9.017067354541728,1,0.6538911043497726,538.5565270370619,0,14,0.28563213230847717,0,2024-01-01 00:24:00,3505,255
5.961294912401014,2,0.21025622961427035,337.6159585057541,0,13,0.04131767940525329,0,2024-01-01 00:26:00,2132,2743
31.75725731692133,1,0.5573283175428132,306.9878589067631,0,15,0.050969067357810934,0,2024-01-01 00:28:00,4168,102
445.07408365258533,5,0.3813413803754432,480.2923170718797,1,18,0.21162050345263267,0,2024-01-01 00:30:00,2748,398
28.538917936948177,1,0.39707048821768487,51.035289254269784,1,18,0.24526132834036027,0,2024-01-01 00:32:00,2043,1611
9835.227000363786,9,0.9259183450403153,0.08441980009528735,0,2,0.3539189727697334,1,2024-01-01 00:34:00,177,2144
112.86117464645159,3,0.13500326833809895,674.7564541506065,0,10,0.18640689498363092,0,2024-01-01 00:36:00,4514,1194
15.007879133862394,1,0.3032193352501199,150.57048526806662,1,8,0.1002866272870819,0,2024-01-01 00:38:00,888,1683
2507.5513166796195,5,0.7610689773674982,1.2752597641916228,0,1,0.9217509663737301,1,2024-01-01 00:40:00,3277,409
126.24544346142784,4,0.012023706616583906,61.181885842726,0,13,0.057072448582884655,0,2024-01-01 00:42:00,3299,1124
36.765946470404465,3,0.11719676377936075,890.2743168392981,0,17,0.037142407915342734,0,2024-01-01 00:44:00,1571,764
295.39997792463714,5,0.12640139362098524,208.5040245046811,0,14,0.181678361761575,0,2024-01-01 00:46:00,4418,2346
644.5261015398374,3,0.5454913931424344,613.2216877580591,0,13,0.030514216221959115,0,2024-01-01 00:48:00,1368,1271
428.13272091202356,8,0.9566347022020856,12.884027401350625,1,22,0.9155038294569539,1,2024-01-01 00:50:00,2215,1601
57.74357396291817,1,0.19111467662207676,447.5934465664727,0,11,0.23537563573410294,0,2024-01-01 00:52:00,1766,2391
129.69284711005596,3,0.3537124914038586,294.33981909569343,0,18,0.2649702803946286,0,2024-01-01 00:54:00,797,1465
59.711577847750355,1,0.31131356613606215,294.78162238743755,0,19,0.020197834740749255,1,2024-01-01 00:56:00,39,2066
52.004583370539606,5,0.3756803126575896,308.07862848751006,0,10,0.1739726590066188,0,2024-01-01 00:58:00,1042,832
13.782813209709566,3,0.47147871774933964,638.2310544796758,0,15,0.1147296976232297,0,2024-01-01 01:00:00,3264,162
122.32008202231593,1,0.13907297581295594,121.40646476799527,0,10,0.1424785468401712,0,2024-01-01 01:02:00,4797,7
84.02075097527117,1,0.08799990745576863,403.0071076158185,0,9,0.07619530526303185,0,2024-01-01 01:04:00,493,1908
235.46623576212568,2,0.2392023398461158,443.6571738672221,0,15,0.302264586408972,0,2024-01-01 01:06:00,4712,97
80.51414371841913,1,0.3347347170791745,391.0373059291376,0,8,0.0563660552678015,0,2024-01-01 01:08:00,1881,2500
32.83653191045166,2,0.4922631978472339,89.74785553022113,0,15,0.030125531497282084,1,2024-01-01 01:10:00,3863,1649
117.47731519556301,0,0.26734455505828325,88.7073379102408,0,18,0.2189675104171587,0,2024-01-01 01:12:00,1079,2183
19.459795403745712,0,0.12088590634045154,40.840467208748066,0,16,0.012084026571580947,0,2024-01-01 01:14:00,2848,1070
16.2498406166639,1,0.15870149979889514,15.00088261536869,0,19,0.0445082755116719,0,2024-01-01 01:16:00,4422,797
5.059089382301608,1,0.25409371995764096,33.10529493250006,0,12,0.002872362394860034,0,2024-01-01 01:18:00,951,834
78.38584586208783,8,0.3786121662219858,304.78222101649067,0,13,0.1959314004867815,0,2024-01-01 01:20:00,3922,2388
356.79643777639217,4,0.15413792780447644,4.018578046532525,0,12,0.08265582562771408,0,2024-01-01 01:22:00,1524,1158
39.8863365581123,1,0.4601717782080448,90.9592317375083,0,12,0.28149991259579205,0,2024-01-01 01:24:00,4688,1766
46.47381932172108,1,0.12212821105908025,243.05536925911528,0,16,0.09603148580609369,0,2024-01-01 01:26:00,1681,2132
41.52180652658801,1,0.12105860092143496,49.0553982239572,0,18,0.057083007333929736,0,2024-01-01 01:28:00,2624,541
